,Data,Precipitação diária máxima anual (mm)
1,1931-09-29 09:00:00,14.8
2,1932-09-21 09:00:00,44.8
3,1932-12-30 09:00:00,44.0
4,1934-01-11 09:00:00,53.6
5,1934-12-08 09:00:00,61.0
6,1936-02-17 09:00:00,56.0
7,1937-01-23 09:00:00,77.4
8,1937-12-06 09:00:00,79.8
9,1939-01-13 09:00:00,50.8
10,1940-03-14 09:00:00,71.0
11,1941-01-21 09:00:00,79.0
12,1941-11-10 09:00:00,50.0
13,1943-01-20 09:00:00,78.0
14,1944-08-28 09:00:00,90.0
15,1944-10-31 09:00:00,49.0
16,1945-12-18 09:00:00,85.0
17,1947-01-06 09:00:00,42.2
18,1948-01-29 09:00:00,80.2
19,1948-10-28 09:00:00,60.0
20,1950-02-05 09:00:00,40.0
21,1951-03-11 09:00:00,49.0
22,1951-11-05 09:00:00,68.0
23,1952-11-25 09:00:00,40.0
24,1953-10-11 09:00:00,51.0
25,1955-01-19 09:00:00,62.2
26,1955-12-14 09:00:00,134.2
27,1957-02-06 09:00:00,34.0
28,1957-12-11 09:00:00,55.0
29,1958-12-19 09:00:00,62.0
30,1960-04-03 09:00:00,58.0
31,1960-06-03 09:00:00,58.0
32,1960-10-22 09:00:00,74.0
33,1962-01-02 09:00:00,81.0
34,1963-04-08 09:00:00,50.2
35,1963-11-15 09:00:00,103.0
36,1965-09-28 09:00:00,69.0
37,1966-01-12 09:00:00,46.2
38,1966-02-12 09:00:00,46.2
39,1966-10-25 09:00:00,53.3
40,1968-02-09 09:00:00,46.5
41,1969-03-13 09:00:00,58.1
42,1970-01-05 09:00:00,69.6
43,1971-01-21 09:00:00,43.2
44,1972-02-02 09:00:00,56.6
45,1972-12-07 09:00:00,57.7
46,1974-01-07 09:00:00,53.5
47,1974-11-15 09:00:00,49.2
48,1976-09-25 09:00:00,50.8
49,1977-01-14 09:00:00,79.1
50,1978-02-16 09:00:00,58.5
51,1978-12-27 09:00:00,34.8
52,1979-10-14 09:00:00,34.6
53,1981-09-26 09:00:00,32.0
54,1981-10-05 09:00:00,31.0
55,1982-11-08 09:00:00,34.0
56,1983-02-23 09:00:00,34.0
57,1986-02-17 09:00:00,38.6
58,1987-01-10 09:00:00,34.5
59,1988-07-04 09:00:00,45.7
60,1988-10-14 09:00:00,53.8
61,1989-12-21 09:00:00,60.2
62,1991-02-28 09:00:00,51.8
63,1992-01-09 09:00:00,31.4
64,1993-09-17 09:00:00,70.2
65,1994-01-06 09:00:00,50.4
66,1995-06-26 09:00:00,52.0
67,1995-12-25 09:00:00,72.0
68,2003-01-03 09:00:00,67.9
69,2003-10-31 09:00:00,42.2
70,2004-10-27 09:00:00,47.3
71,2005-12-02 09:00:00,57.6
